AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
FK_CorreiosRemessa_CorreiosConfiguracao;CorreiosConfiguracao;CodConfiguracao;CorreiosRemessa;CodConfiguracao
FK_CorreiosRemessaNotaSaida_CorreiosRemessa;CorreiosRemessa;CodConfiguracao;CorreiosRemessaNotaSaida;CodConfiguracao
FK_CorreiosRemessaNotaSaida_CorreiosRemessa;CorreiosRemessa;CodRemessa;CorreiosRemessaNotaSaida;CodRemessa
CQSRegistrosAtendimento_NumRegistroCQS;CQSRegistros;NumRegistroCQS;CQSRegistrosAtendimento;NumRegistroCQS
CQSRegistrosRDM_NumRegistroCQS;CQSRegistros;NumRegistroCQS;CQSRegistrosRDM;NumRegistroCQS
CQSRegistros_CodTipoRegistro;CQSTipoRegistro;CodTipoRegistro;CQSRegistros;CodTipoRegistro
FK_CTeDestinadoEventos_CTeDestinado;CTeDestinado;ChaveAcessoCTe;CTeDestinadoEventos;ChaveAcessoCTe
CTeCartaCorrecao_CTeEvento;CTeEventos;ChaveAcessoCTe;CTeCartaCorrecao;ChaveAcessoCTe
CTeCartaCorrecao_CTeEvento;CTeEventos;CodEmpresa;CTeCartaCorrecao;CodEmpresa
CTeCartaCorrecao_CTeEvento;CTeEventos;CTeEvento;CTeCartaCorrecao;CTeEvento
CTeCartaCorrecao_CTeEvento;CTeEventos;Sequencial;CTeCartaCorrecao;Sequencial
FK_CTeIBS_CBS_CTeIdentificacao;CTeIdentificacao;ChaveAcessoCte;CTeIBS_CBS;ChaveAcessoCte
FK_CTeIBS_CBS_CTeIdentificacao;CTeIdentificacao;CodEmpresa;CTeIBS_CBS;CodEmpresa
CTePISCOFINS_ChaveAcessoCTe;CTeIdentificacao;CodEmpresa;CTePISCOFINS;CodEmpresa
CTePISCOFINS_ChaveAcessoCTe;CTeIdentificacao;ChaveAcessoCte;CTePISCOFINS;ChaveAcessoCte
FK_DevolucaoVendaProdutos_DevolucaoVenda;DevolucaoVenda;CodEmpresa;DevolucaoVendaProdutos;CodEmpresa
FK_DevolucaoVendaProdutos_DevolucaoVenda;DevolucaoVenda;NumDevolucao;DevolucaoVendaProdutos;NumDevolucao
FK_DevolucaoVendaProdutos_DevolucaoVenda;DevolucaoVenda;Numero;DevolucaoVendaProdutos;Numero
FK_EmailEnviarAnexo_EmailEnviar;EmailEnviar;NumRegistro;EmailEnviarAnexo;NumRegistroEmailEnviar
aPagar_CodEmpresa;Empresas;CodEmpresa;aPagar;CodEmpresa
aReceber_CodEmpresa;Empresas;CodEmpresa;aReceber;CodEmpresa
ClienteVendedor_CodEmpresa;Empresas;CodEmpresa;ClienteVendedor;CodEmpresa
ContagemFisica_CodEmpresa;Empresas;CodEmpresa;ContagemFisica;CodEmpresa
FK_EmpresasAutorizadoDownload_Empresas;Empresas;CodEmpresa;EmpresasAutorizadoDownload;CodEmpresa
